n_d,n_a,n_steps,gamma,lambda_sparse,optimizer_params,mask_type,train_loss,val_loss,rmse
8,8,3,1.5,0.001,{'lr': 0.1},entmax,0.41750344899415326,0.42852067043452435,0.6546149023926391
8,8,3,1.5,0.001,{'lr': 0.05},entmax,0.4583338568451679,0.45764149355376366,0.6764920498821576
8,8,3,1.5,0.001,{'lr': 0.005},entmax,0.904151139369212,0.5367968049863022,0.7326641829558084
8,8,3,1.5,0.001,{'lr': 0.0005},entmax,1.4022373588002233,1.1709798392221098,1.0821182186905967
8,8,5,1.5,0.001,{'lr': 0.1},entmax,0.48433455146177684,0.47297498771720614,0.6877317701816648
8,8,5,1.5,0.001,{'lr': 0.05},entmax,0.7112460783767133,0.44978428097625156,0.6706595865088723
8,8,5,1.5,0.001,{'lr': 0.005},entmax,1.3395942675133647,1.1962783566614192,1.0937451058914134
8,8,5,1.5,0.001,{'lr': 0.0005},entmax,1.3218316741646683,1.2097523592702866,1.099887430271974
8,16,3,1.5,0.001,{'lr': 0.1},entmax,0.43170056457787553,0.42377202044134793,0.6509777418939513
8,16,3,1.5,0.001,{'lr': 0.05},entmax,0.44185950733382523,0.43075580304324346,0.6563198938347393
8,16,3,1.5,0.001,{'lr': 0.005},entmax,0.4925404626791546,0.48616527492175854,0.6972555305781077
8,16,3,1.5,0.001,{'lr': 0.0005},entmax,1.2114665973931045,1.1896622818722131,1.0907164076295053
8,16,5,1.5,0.001,{'lr': 0.1},entmax,0.47175937735306894,0.4371260555360603,0.6611550918930144
8,16,5,1.5,0.001,{'lr': 0.05},entmax,0.46760708714439386,0.48011697061862213,0.6929047341580385
8,16,5,1.5,0.001,{'lr': 0.005},entmax,1.4905424444439361,3.206604826272566,1.7906995354532724
8,16,5,1.5,0.001,{'lr': 0.0005},entmax,2.0253257953886155,1.8236972095337163,1.3504433381425953
8,32,3,1.5,0.001,{'lr': 0.1},entmax,0.4574252140095104,0.450897907998194,0.6714893208370436
8,32,3,1.5,0.001,{'lr': 0.05},entmax,0.42050280110664356,0.4245123072042758,0.6515460898541835
