"name","character_name","role"
"Wachowski, Lilly",NULL,"writer"
"Reeves, Keanu","Neo","actor"
"Fishburne, Laurence","Morpheus","actor"
"Moss, Carrie-Anne","Trinity","actress"
"Weaving, Hugo","Agent Smith","actor"
"Foster, Gloria","Oracle","actress"
"Pantoliano, Joe","Cypher","actor"
"Chong, Marcus","Tank","actor"
"Arahanga, Julian","Apoc","actor"
"Doran, Matt","Mouse","actor"
"McClory, Belinda","Switch","actress"
"Parker, Anthony Ray","Dozer","actor"
"Goddard, Paul","Agent Brown","actor"
"Taylor, Robert","Agent Jones","actor"
"Aston, David","Rhineheart","actor"
"Gray, Marc Aden","Choi","actor"
"Nicodemou, Ada","Dujour","actress"
"Gordon, Deni","Priestess","actress"
"Witt, Rowan","Spoon Boy","actor"
"Witt, Eleanor","Potential","actress"
"Brown, Tamara","Potential","actress"
"Pender, Janaya","Potential","actress"
"White, Adryn","Potential","actor"
"Tjen, Natalie","Potential","actress"
"Young, Bill","Lieutenant","actor"
"O'Connor, David","FedEx Man","actor"
"Ball, Jeremy","Businessman","actor"
"Johnson, Fiona","Woman in Red","actress"
"Lawrence, Harry","Old Man","actor"
"Dodd, Steve","Blind Man","actor"
"Quinton, Luke","Security Guard","actor"
"Woodward, Lawrence","Guard","actor"
"Butcher, Michael","Cop Who Captures Neo","actor"
"Ledger, Bernard","Big Cop","actor"
"Simper, Robert","Cop","actor"
"Pattinson, Chris","Cop","actor"
"Harbach, Nigel","Parking Cop","actor"
"Wachowski, Lana",NULL,"writer"
"Dwyer, Marcus",NULL,"miscellaneous crew"
"Ellison, Brian",NULL,"miscellaneous crew"
"Eves, Elizabeth",NULL,"miscellaneous crew"
"Faithful, John",NULL,"miscellaneous crew"
"Fetzer, Kerry",NULL,"miscellaneous crew"
"Firth, Guy",NULL,"miscellaneous crew"
"Forbes, Peter",NULL,"miscellaneous crew"
"Gamble, Katherine",NULL,"miscellaneous crew"
"Gilhooly, Annie",NULL,"miscellaneous crew"
"Goldsmith, Juan",NULL,"miscellaneous crew"
"Grelis, Martin",NULL,"miscellaneous crew"
"Gribble, Jeff",NULL,"miscellaneous crew"
"Griffin, Jane",NULL,"miscellaneous crew"
"Harty, Stew",NULL,"miscellaneous crew"
"Havas, Bianca",NULL,"miscellaneous crew"
"Hayes, Marvin",NULL,"miscellaneous crew"
"Healy, Jane",NULL,"miscellaneous crew"
"Hodge-Hampton, Sandra",NULL,"miscellaneous crew"
"Horrigan, Joseph M.",NULL,"miscellaneous crew"
"Huang, Sam Kai-Sen",NULL,"miscellaneous crew"
"Huddleston, Donna",NULL,"miscellaneous crew"
"Iracleanos, Jamie",NULL,"miscellaneous crew"
"Jacobs, Emma",NULL,"miscellaneous crew"
"Jenkins, Alistair",NULL,"miscellaneous crew"
"Johnson, Jayne",NULL,"miscellaneous crew"
"Johnston, Melissa",NULL,"miscellaneous crew"
"Kaufman, Alex",NULL,"miscellaneous crew"
"Kim, Carol",NULL,"miscellaneous crew"
"Landreth, Fiona",NULL,"miscellaneous crew"
"Lee, Tat Chiu",NULL,"miscellaneous crew"
"Lee, Terry",NULL,"miscellaneous crew"
"Lennon, Lea",NULL,"miscellaneous crew"
"Leung, Madye Sing-Hung",NULL,"miscellaneous crew"
"Lincoln, Julie-Anne",NULL,"miscellaneous crew"
"Lowson, Belinda",NULL,"miscellaneous crew"
"Mack, Jason",NULL,"miscellaneous crew"
